,_id,Datetime,Tweet Id,Text,Username
0,6402fef06eb880dac6b5bb93,1675382397000,1621297402077499396,"Roznowa Z liberałami, uciekła mi literka, elon Musk daj w końcu opcję edytuj żal",PolanskiL_
1,6402fef06eb880dac6b5bb94,1675382397000,1621297400303308800,"@elonmusk  How’s your Vienna sausage hangin’ bologna face? 

#smallpenissyndrome",wittymedwriter
2,6402fef06eb880dac6b5bb95,1675382397000,1621297399728685056,@ClayTravis @elonmusk Masks? 🤣 Follow the Sci-yence.,Bremi2Bremi
3,6402fef06eb880dac6b5bb96,1675382396000,1621297398856171520,@elonmusk You learnt it the hard way,RobertMethod1
4,6402fef06eb880dac6b5bb97,1675382396000,1621297398789148672,@sophiedee @elonmusk @TitterTakeover @Twitter @sophiedee you are a republican?,TornadoMatter
5,6402fef06eb880dac6b5bb98,1675382396000,1621297398709456896,@fckeveryword Me to Elon Musk https://t.co/mlGZY58n2T,Jo3y231
6,6402fef06eb880dac6b5bb99,1675382396000,1621297396830572544,"@CoreyMSchafer @elonmusk @TitterTakeover @Twitter Why would you compare an opposing political party to “flat Earthers”?  You sound a bit hysterical, like CNN during the “flat earth” Russia, Russia, Russia propaganda",ClownsIAAreEvil
7,6402fef06eb880dac6b5bb9a,1675382395000,1621297394855063552,"Hey Elon,
@elonmusk 
We have a button for when we want to refresh.
We don't need you to do it for us.

Jack",haysjr_9
8,6402fef06eb880dac6b5bb9b,1675382395000,1621297394276093952,@elonmusk You want to call out @LoganPaul but you won’t call out your cousins who you bailed out of the solar industry and then selling their stock after 6 months for 200 million. @elonmusk I think you are the fraud!,CBrogden35
9,6402fef06eb880dac6b5bb9c,1675382394000,1621297387363831810,@elonmusk @LeighWolf You have input into them so make it so they don’t have bias,thefinancetwich
10,6402fef06eb880dac6b5bb9d,1675382393000,1621297384507539456,@elonmusk @BillyM2k @ericnakagawa What's with the sexually explicit crap showing up on my timeline?  I don't want that crap.,Richard50764260
11,6402fef06eb880dac6b5bb9e,1675382392000,1621297380481024000,@elonmusk @TitterTakeover @Twitter Good job!,Tara34825779
12,6402fef06eb880dac6b5bb9f,1675382392000,1621297379444916224,bumper cars (the carnival ride) and magnetic fields (invisible waves terrestrial created) . there's a hypothetical connection #Science #ScienceTwitter may want to explore. earth and surrounding celestial objects are bumper cars. @elonmusk,dadx3gMike
13,6402fef06eb880dac6b5bba0,1675382389000,1621297368590127105,"@CNeverknow @elonmusk GeeZ, that sounds like SOOOO much fun.",jackie_piglet
14,6402fef06eb880dac6b5bba1,1675382388000,1621297365767290880,@_NightHaunter @MAstronomers @elonmusk Il sole non è grande 1000 volte la terra è non dista 150 milioni di chilometri. Ma non sei obbligato a credermi. Fai le tue ricerche se ne senti il bisogno,KennedyAlberto_
15,6402fef06eb880dac6b5bba2,1675382388000,1621297365587034112,Elon Musk matando todos os bots do twt https://t.co/CJdFT06CAS,Deathunt_
16,6402fef06eb880dac6b5bba3,1675382388000,1621297362173054977,"Reminder. Family man as well!
@elonmusk @NotElonMusk639 https://t.co/0BvVQ3e0Mh",EllaVogelsang
17,6402fef06eb880dac6b5bba4,1675382387000,1621297360885145601,@elonmusk @TitterTakeover @Twitter Eliza bleu.,Mikelm1973
18,6402fef06eb880dac6b5bba5,1675382387000,1621297358456643584,@elonmusk @BillyM2k @ericnakagawa RIP open-source projects.,tosho
19,6402fef06eb880dac6b5bba6,1675382386000,1621297357462638595,"@Jim_Jordan @OANN Rep Jordan, ask @elonmusk to step in.  He will help with this, you know that.",ravensrulz1
20,6402fef06eb880dac6b5bba7,1675382386000,1621297357269913603,@thomasnunn @Project_Veritas @elonmusk 🤣,netluxe
21,6402fef06eb880dac6b5bba8,1675382386000,1621297356443455488,@Project_Veritas @elonmusk Funny I tried to reply and it said this post was deleted? Had to go find it again from your account ..,NightwatchN8
22,6402fef06eb880dac6b5bba9,1675382386000,1621297356183420928,@Project_Veritas @elonmusk Might have a few sleepers among your ranks though. Time to audit employee interactions with posts.,Bcote06333747
23,6402fef06eb880dac6b5bbaa,1675382385000,1621297350366072832,@elonmusk @BillyM2k @ericnakagawa Not a statement you would normally make Elon,EllaVogelsang
24,6402fef06eb880dac6b5bbab,1675382384000,1621297349028093954,"Can there be a new function that shows the reply with a blocked icon?
@elonmusk 
@TwitterSupport",pipppppa123
25,6402fef06eb880dac6b5bbac,1675382384000,1621297348910673921,"Day 64 of asking Elon for One Million Dollars! In correlation to your post about fitting all of Humanity into New York, you know what else doesn't take up much space? A million bucks... You could fit all that million bucks into my bank account 😅

@elonmusk 
#NoShame",JFechle
